isfraud,numdayopen,value,tranid,userid,last4dig,dayind,bankid,international
0.0,13.0,741.8089492600731,42098.0,29.0,3286.0,6.0,1.0,0.0
1.0,17.0,30.767422218632273,38657.0,30.0,9279.0,5.0,1.0,0.0
1.0,113.0,449.75983723756974,46463.0,1.0,3615.0,6.0,4.0,1.0
1.0,80.0,216.0984483454812,54118.0,14.0,2519.0,4.0,1.0,1.0
1.0,310.0,265.25634635479105,15695.0,94.0,8527.0,5.0,1.0,1.0
0.0,283.0,293.8851031256858,92397.0,80.0,6925.0,5.0,2.0,0.0
0.0,339.0,228.6703773758953,47930.0,11.0,4814.0,7.0,1.0,1.0
1.0,233.0,636.0487598201357,57819.0,21.0,7065.0,3.0,2.0,1.0
0.0,312.0,635.3433099088631,80010.0,94.0,5010.0,2.0,4.0,1.0
1.0,328.0,688.4737964748799,38785.0,88.0,6313.0,7.0,1.0,0.0
0.0,162.0,401.7636222353066,18675.0,28.0,6155.0,2.0,6.0,1.0
1.0,330.0,459.3930007348114,44718.0,18.0,5040.0,6.0,5.0,1.0
1.0,299.0,400.00110463525687,38746.0,18.0,9348.0,4.0,1.0,0.0
0.0,79.0,627.8185956613869,99192.0,55.0,2040.0,4.0,4.0,1.0
1.0,284.0,860.9189225322635,11504.0,88.0,2876.0,6.0,5.0,1.0
1.0,58.0,294.2066285187787,30730.0,59.0,1053.0,6.0,6.0,1.0
0.0,260.0,912.7152115054757,91959.0,39.0,9317.0,5.0,2.0,0.0
1.0,83.0,539.8396510895061,79514.0,1.0,6310.0,4.0,1.0,0.0
1.0,158.0,240.21285802772076,41571.0,73.0,2290.0,1.0,6.0,1.0
0.0,273.0,766.0685948776808,26828.0,85.0,8787.0,5.0,2.0,1.0
1.0,109.0,928.9845795091746,36365.0,92.0,6107.0,4.0,6.0,1.0
1.0,265.0,452.0346552497386,42493.0,29.0,2049.0,3.0,1.0,0.0
0.0,4.0,71.9220929230235,92719.0,8.0,4750.0,1.0,1.0,1.0
0.0,264.0,238.7666297346262,97684.0,63.0,4510.0,5.0,2.0,1.0
0.0,243.0,807.6895007688768,34957.0,13.0,2588.0,6.0,4.0,1.0
1.0,211.0,467.5576433686383,17100.0,87.0,2612.0,1.0,4.0,1.0
0.0,128.0,192.39848206951237,80292.0,58.0,3296.0,4.0,2.0,1.0
1.0,128.0,874.6114681165094,19880.0,57.0,2604.0,1.0,6.0,0.0
0.0,122.0,167.1447994933101,73653.0,62.0,4502.0,7.0,4.0,0.0
0.0,195.0,3.1532229730750028,61173.0,34.0,8454.0,3.0,4.0,1.0
0.0,98.0,297.41111766906965,17665.0,75.0,9883.0,1.0,6.0,1.0
0.0,26.0,584.5934168645123,75909.0,68.0,3579.0,1.0,5.0,0.0
0.0,36.0,595.4400713435776,98501.0,31.0,7615.0,1.0,5.0,0.0
0.0,318.0,82.9014220893806,96163.0,75.0,9565.0,3.0,3.0,0.0
1.0,123.0,266.34889801882247,27154.0,86.0,5915.0,4.0,3.0,0.0
0.0,235.0,621.5380962375997,83792.0,13.0,2200.0,5.0,2.0,1.0
0.0,179.0,880.9833095127531,42018.0,48.0,5669.0,2.0,4.0,1.0
0.0,342.0,817.2870309803462,49240.0,85.0,2697.0,2.0,3.0,0.0
0.0,284.0,156.29246186521547,46930.0,78.0,4450.0,6.0,3.0,0.0
1.0,259.0,489.0433202972272,16658.0,12.0,7939.0,7.0,3.0,0.0
0.0,171.0,771.3481037966075,93507.0,34.0,3647.0,6.0,4.0,1.0
0.0,58.0,76.16861621369328,29536.0,70.0,1590.0,7.0,3.0,0.0
1.0,66.0,42.787029310688986,57795.0,6.0,6862.0,2.0,6.0,0.0
0.0,182.0,780.3361256295713,63264.0,80.0,3532.0,2.0,2.0,0.0
1.0,13.0,180.1813027547888,53540.0,53.0,5065.0,3.0,2.0,0.0
1.0,20.0,858.7346580864438,39154.0,26.0,8541.0,3.0,3.0,0.0
0.0,13.0,660.3731495658803,62227.0,43.0,5564.0,7.0,1.0,1.0
1.0,329.0,509.89626985250936,99065.0,69.0,6425.0,1.0,1.0,1.0
0.0,298.0,962.5717814457939,44795.0,5.0,2776.0,5.0,4.0,1.0
1.0,224.0,606.6026444528371,77033.0,15.0,7311.0,5.0,2.0,1.0
0.0,363.0,436.6214579395173,78146.0,69.0,4228.0,3.0,4.0,0.0
1.0,320.0,314.6017294133013,26334.0,93.0,5920.0,5.0,3.0,1.0
1.0,207.0,697.5112057802047,82667.0,17.0,4143.0,4.0,6.0,1.0
0.0,316.0,569.5361496109435,63225.0,71.0,1006.0,3.0,3.0,0.0
1.0,297.0,607.0549089092829,52237.0,60.0,8238.0,4.0,6.0,0.0
1.0,87.0,659.1918942534234,47196.0,66.0,6491.0,1.0,2.0,1.0
0.0,102.0,148.20660828352692,16057.0,32.0,8784.0,5.0,1.0,1.0
1.0,323.0,576.0952285099088,60328.0,64.0,7547.0,2.0,2.0,0.0
0.0,218.0,219.6222956755071,77889.0,60.0,1822.0,5.0,2.0,0.0
1.0,69.0,801.6151851205423,97500.0,68.0,6198.0,7.0,4.0,1.0
1.0,82.0,743.9117867174253,72216.0,58.0,5246.0,7.0,2.0,1.0
1.0,321.0,240.00661795081822,67654.0,10.0,5681.0,2.0,3.0,1.0
1.0,277.0,81.49708000001078,29769.0,30.0,7275.0,6.0,2.0,0.0
0.0,213.0,408.19177029692014,81121.0,60.0,7812.0,1.0,2.0,1.0
1.0,300.0,946.1159715565104,12560.0,98.0,7232.0,4.0,1.0,1.0
1.0,200.0,853.5945026185356,64921.0,69.0,9947.0,7.0,5.0,0.0
1.0,113.0,273.66237645149334,73654.0,4.0,7371.0,3.0,6.0,1.0
0.0,240.0,919.622079048307,91560.0,69.0,1441.0,4.0,5.0,0.0
